slice,dtc,svc,dtr
15,0.75,0.666666666667,0.75
17,0.583333333333,0.666666666667,0.583333333333
19,0.666666666667,0.666666666667,0.666666666667
21,0.583333333333,0.666666666667,0.583333333333
23,0.583333333333,0.666666666667,0.583333333333
25,0.583333333333,0.666666666667,0.583333333333
27,0.666666666667,0.666666666667,0.666666666667
29,0.666666666667,0.666666666667,0.666666666667
31,0.75,0.666666666667,0.75
33,0.666666666667,0.666666666667,0.666666666667
35,0.916666666667,0.666666666667,0.916666666667
37,0.75,0.666666666667,0.75
39,0.75,0.666666666667,0.75
41,0.75,0.666666666667,0.75
43,0.75,0.666666666667,0.75
45,0.666666666667,0.666666666667,0.666666666667
47,0.666666666667,0.666666666667,0.666666666667
49,0.833333333333,0.666666666667,0.833333333333
51,0.916666666667,0.666666666667,0.916666666667
53,0.916666666667,0.666666666667,0.916666666667
55,0.916666666667,0.666666666667,0.916666666667
57,0.833333333333,0.666666666667,0.833333333333
59,0.916666666667,0.666666666667,0.916666666667
61,0.916666666667,0.666666666667,0.916666666667
63,0.916666666667,0.666666666667,0.916666666667
65,0.916666666667,0.666666666667,0.916666666667
67,0.916666666667,0.666666666667,0.916666666667
69,0.916666666667,0.666666666667,0.916666666667
71,0.833333333333,0.666666666667,0.833333333333
73,0.75,0.666666666667,0.75
75,0.666666666667,0.666666666667,0.666666666667
77,0.666666666667,0.666666666667,0.666666666667
79,0.666666666667,0.666666666667,0.666666666667
81,0.75,0.666666666667,0.75
83,0.666666666667,0.666666666667,0.666666666667
85,0.75,0.666666666667,0.75
87,0.833333333333,0.666666666667,0.833333333333
89,0.666666666667,0.666666666667,0.666666666667
91,0.75,0.666666666667,0.75
93,0.833333333333,0.666666666667,0.833333333333
95,0.833333333333,0.666666666667,0.833333333333
97,0.833333333333,0.666666666667,0.833333333333
99,0.916666666667,0.666666666667,0.916666666667
101,0.833333333333,0.666666666667,0.833333333333
103,0.833333333333,0.666666666667,0.833333333333
105,0.833333333333,0.666666666667,0.833333333333
107,0.666666666667,0.666666666667,0.666666666667
109,0.75,0.666666666667,0.75
111,0.833333333333,0.666666666667,0.833333333333
113,0.75,0.666666666667,0.75
115,0.75,0.666666666667,0.75
117,0.666666666667,0.666666666667,0.666666666667
119,0.666666666667,0.666666666667,0.666666666667
121,0.75,0.666666666667,0.75
123,0.833333333333,0.666666666667,0.833333333333
125,0.833333333333,0.666666666667,0.833333333333
127,0.916666666667,0.666666666667,0.916666666667
129,0.833333333333,0.666666666667,0.833333333333
131,0.833333333333,0.666666666667,0.833333333333
133,0.833333333333,0.666666666667,0.833333333333
135,0.833333333333,0.666666666667,0.833333333333
137,0.833333333333,0.666666666667,0.833333333333
139,0.833333333333,0.666666666667,0.833333333333
141,0.833333333333,0.666666666667,0.833333333333
143,0.833333333333,0.666666666667,0.833333333333
145,0.833333333333,0.666666666667,0.833333333333
147,0.833333333333,0.666666666667,0.833333333333
149,0.833333333333,0.666666666667,0.833333333333
151,0.833333333333,0.666666666667,0.833333333333
153,0.75,0.666666666667,0.75
155,0.75,0.666666666667,0.75
157,0.75,0.666666666667,0.75
159,0.75,0.666666666667,0.75
161,0.75,0.666666666667,0.75
163,0.75,0.666666666667,0.75
165,0.75,0.666666666667,0.75
167,0.75,0.666666666667,0.75
169,0.75,0.666666666667,0.75
171,0.75,0.666666666667,0.75
173,0.75,0.666666666667,0.75
175,0.75,0.666666666667,0.75
177,0.75,0.666666666667,0.75
179,0.75,0.666666666667,0.75
181,0.75,0.666666666667,0.75
183,0.75,0.666666666667,0.75
185,0.75,0.666666666667,0.75
187,0.75,0.666666666667,0.75
189,0.75,0.666666666667,0.75
191,0.75,0.666666666667,0.75
193,0.75,0.666666666667,0.75
195,0.75,0.666666666667,0.75
197,0.75,0.666666666667,0.75
199,0.75,0.666666666667,0.75
201,0.75,0.666666666667,0.75
203,0.75,0.666666666667,0.75
205,0.75,0.666666666667,0.75
207,0.75,0.666666666667,0.75
209,0.75,0.666666666667,0.75
211,0.75,0.666666666667,0.75
213,0.75,0.666666666667,0.75
215,0.75,0.666666666667,0.75
217,0.75,0.666666666667,0.75
219,0.75,0.666666666667,0.75
221,0.75,0.666666666667,0.75
223,0.75,0.666666666667,0.75
225,0.75,0.666666666667,0.75
227,0.75,0.666666666667,0.75
229,0.75,0.666666666667,0.75
231,0.75,0.666666666667,0.75
233,0.75,0.666666666667,0.75
235,0.75,0.666666666667,0.75
237,0.75,0.666666666667,0.75
239,0.75,0.666666666667,0.75
241,0.75,0.666666666667,0.75
243,0.75,0.666666666667,0.75
245,0.75,0.666666666667,0.75
247,0.75,0.666666666667,0.75
249,0.75,0.666666666667,0.75
251,0.75,0.666666666667,0.75
253,0.75,0.666666666667,0.75
